COM,Commune,PMUN,PCAP,PTOT
59340,Leffrinckoucke,4101,95,4196
59341,Lesdain,448,6,454
59342,Lez-Fontaine,232,6,238
59343,Lesquin,9356,87,9443
59344,Leval,2483,12,2495
59345,Lewarde,2388,23,2411
59346,Lezennes,2966,24,2990
59347,Liessies,529,11,540
59348,Lieu-Saint-Amand,1464,15,1479
59349,Ligny-en-CambrÃ©sis,1874,20,1894
59350,Lille,238695,1828,240523
59351,Limont-Fontaine,532,6,538
59352,Linselles,8177,91,8268
59353,Locquignol,297,5,302
59354,Loffre,717,12,729
59356,Lompret,2170,46,2216
59357,La Longueville,2061,28,2089
59358,Looberghe,1217,12,1229
59359,Loon-Plage,5995,69,6064
59360,Loos,22948,274,23222
59361,Lourches,3756,22,3778
59363,Louvignies-Quesnoy,903,17,920
59364,Louvil,902,12,914
59365,Louvroil,6334,35,6369
59366,Lynde,782,15,797
59367,Lys-lez-Lannoy,13987,132,14119
59368,La Madeleine,22161,198,22359
59369,Maing,3970,50,4020
59370,Mairieux,698,11,709
59371,Le Maisnil,628,16,644
59372,Malincourt,487,10,497
59374,Marbaix,468,4,472
59375,Marchiennes,4506,59,4565
59377,Marcoing,1865,31,1896
59378,Marcq-en-BarÅul,39943,730,40673
59379,Marcq-en-Ostrevent,751,5,756
59381,Maresches,806,20,826
59382,Maretz,1403,13,1416
59383,Marly,11980,108,12088
59384,Maroilles,1445,21,1466
59385,Marpent,2649,21,2670
59386,Marquette-lez-Lille,11709,78,11787
59387,Marquette-en-Ostrevant,1953,12,1965
59388,Marquillies,1971,23,1994
59389,MasniÃ¨res,2731,37,2768
59390,Masny,4028,27,4055
59391,Mastaing,900,2,902
59392,Maubeuge,28879,270,29149
59393,Maulde,955,13,968
59394,Maurois,405,2,407
59395,Mazinghien,279,5,284
59396,Mecquignies,697,11,708
59397,Merckeghem,609,12,621
59398,MÃ©rignies,3476,141,3617
59399,Merris,1078,21,1099
59400,Merville,9729,98,9827
59401,MÃ©teren,2230,31,2261
59402,Millam,843,20,863
59403,Millonfosse,708,7,715
59405,MÅuvres,493,3,496
59406,Monceau-Saint-Waast,423,5,428
59407,Monchaux-sur-Ãcaillon,583,10,593
59408,Moncheaux,1683,25,1708
59409,Monchecourt,2488,18,2506
59410,Mons-en-BarÅul,21368,135,21503
59411,Mons-en-PÃ©vÃ¨le,2077,38,2115
59412,Montay,275,3,278
59413,Montigny-en-CambrÃ©sis,552,7,559
59414,Montigny-en-Ostrevent,4588,60,4648
59415,MontrÃ©court,227,2,229
59416,Morbecque,2538,55,2593
59418,Mortagne-du-Nord,1581,7,1588
59419,Mouchin,1466,22,1488
59420,Moustier-en-Fagne,61,2,63
59421,Mouvaux,13239,181,13420
59422,Naves,623,12,635
59423,Neuf-Berquin,1422,21,1443
59424,Neuf-Mesnil,1296,10,1306
59425,Neuville-en-Avesnois,303,8,311
59426,Neuville-en-Ferrain,10125,82,10207
59427,La Neuville,606,13,619
59428,Neuville-Saint-RÃ©my,3909,36,3945
59429,Neuville-sur-Escaut,2759,14,2773
59430,Neuvilly,1091,11,1102
59431,Nieppe,7685,81,7766
59432,Niergnies,511,7,518
59433,Nieurlet,906,12,918
59434,Nivelle,1393,18,1411
59435,Nomain,2618,45,2663
59436,Noordpeene,812,13,825
59437,Noyelles-lÃ¨s-Seclin,839,15,854
59438,Noyelles-sur-Escaut,815,18,833
59439,Noyelles-sur-Sambre,282,6,288
59440,Noyelles-sur-Selle,661,11,672
59441,Obies,655,14,669
59442,Obrechies,273,6,279
59443,Ochtezeele,363,1,364
59444,Odomez,936,9,945
59445,Ohain,1185,16,1201
59446,Oisy,695,8,703
59447,Onnaing,8567,68,8635
59448,Oost-Cappel,468,5,473
59449,Orchies,8390,137,8527
59450,Ors,639,5,644
59451,Orsinval,560,10,570
59452,Ostricourt,6014,27,6041
59453,Oudezeele,690,15,705
59454,OxelaÃ«re,533,5,538
59455,Paillencourt,1022,13,1035
59456,Pecquencourt,6160,258,6418
59457,PÃ©renchies,8487,65,8552
59458,PÃ©ronne-en-MÃ©lantois,1001,22,1023
59459,Petite-ForÃªt,5058,40,5098
59461,Petit-Fayt,286,6,292
59462,Phalempin,4863,50,4913
59463,Pitgam,992,17,1009
59464,Poix-du-Nord,2156,13,2169
59465,Pommereuil,779,2,781
59466,Pont-Ã -Marcq,3054,91,3145
59467,Pont-sur-Sambre,2387,25,2412
59468,Potelle,440,5,445
59469,Pradelles,404,9,413
59470,PrÃ©mesques,2029,31,2060
59471,PrÃ©seau,2083,21,2104
59472,Preux-au-Bois,839,8,847
59473,Preux-au-Sart,302,5,307
59474,Prisches,1046,20,1066
59475,Prouvy,2202,20,2222
59476,Proville,3167,54,3221
59477,Provin,4456,42,4498
59478,QuaÃ«dypre,1122,26,1148
59479,Quarouble,3141,29,3170
59480,QuÃ©rÃ©naing,863,10,873
59481,Le Quesnoy,4859,119,4978
59482,Quesnoy-sur-DeÃ»le,6863,61,6924
59483,QuiÃ©velon,138,1,139
59484,QuiÃ©vrechain,6078,41,6119
59485,QuiÃ©vy,1800,19,1819
59486,RÃ¢ches,2644,40,2684
59487,Radinghem-en-Weppes,1404,20,1424
59488,Raillencourt-Sainte-Olle,2104,39,2143
59489,Raimbeaucourt,4012,54,4066
59490,Rainsars,194,1,195
59491,Raismes,12140,61,12201
59492,Ramillies,588,7,595
59493,Ramousies,224,2,226
59494,Raucourt-au-Bois,152,1,153
59495,Recquignies,2379,14,2393
59496,Rejet-de-Beaulieu,227,2,229
59497,Renescure,2130,29,2159
59498,Reumont,341,10,351
59499,RexpoÃ«de,1984,31,2015
59500,RibÃ©court-la-Tour,378,5,383
59501,Rieulay,1226,25,1251
59502,Rieux-en-CambrÃ©sis,1432,19,1451
59503,Robersart,208,2,210
59504,RÅulx,3767,19,3786
59505,Rombies-et-Marchipont,745,7,752
59506,Romeries,480,7,487
59507,Ronchin,19436,150,19586
59508,Roncq,13873,111,13984
59509,Roost-Warendin,5966,50,6016
59511,Rosult,1997,35,2032
59512,Roubaix,99507,419,99926
59513,Roucourt,456,4,460
59514,Rousies,4016,55,4071
59515,Rouvignies,658,5,663
59516,Rubrouck,915,22,937
59517,Les Rues-des-Vignes,740,13,753
59518,Ruesnes,452,6,458
59519,Rumegies,1738,34,1772
59520,Rumilly-en-CambrÃ©sis,1422,23,1445
59521,Sailly-lez-Cambrai,416,8,424
59522,Sailly-lez-Lannoy,1936,29,1965
59523,Sainghin-en-MÃ©lantois,2844,38,2882
59524,Sainghin-en-Weppes,5663,50,5713
59525,Sains-du-Nord,2766,26,2792
59526,Saint-Amand-les-Eaux,16042,203,16245
59527,Saint-AndrÃ©-lez-Lille,12909,133,13042
59528,Saint-Aubert,1563,16,1579
59529,Saint-Aubin,338,5,343
59530,Saint-Aybert,331,1,332
59531,Saint-Benin,341,4,345
59532,Saint-Georges-sur-l'Aa,289,3,292
59533,Saint-Hilaire-lez-Cambrai,1557,21,1578
59534,Saint-Hilaire-sur-Helpe,767,21,788
59535,Saint-Jans-Cappel,1609,46,1655
59536,Sainte-Marie-Cappel,835,25,860
59537,Saint-Martin-sur-Ãcaillon,492,11,503
59538,Saint-Momelin,420,11,431
59539,Saint-Pierre-Brouck,983,16,999
59541,Saint-Python,985,7,992
59542,Saint-Remy-ChaussÃ©e,473,7,480
59543,Saint-Remy-du-Nord,1057,11,1068
59544,Saint-Saulve,11121,141,11262
59545,Saint-Souplet,1197,25,1222
59546,Saint-Sylvestre-Cappel,1151,33,1184
59547,Saint-Vaast-en-CambrÃ©sis,855,7,862
59548,Saint-Waast,672,9,681
59549,Salesches,328,3,331
59550,SalomÃ©,3116,31,3147
59551,SamÃ©on,1722,41,1763
59552,Sancourt,197,6,203
59553,Santes,5656,60,5716
59554,Sars-et-RosiÃ¨res,613,15,628
59555,Sars-Poteries,1411,14,1425
59556,Sassegnies,258,3,261
59557,Saultain,2526,31,2557
59558,Saulzoir,1685,18,1703
59559,Sebourg,1972,42,2014
59560,Seclin,13011,97,13108
59562,SÃ©meries,527,8,535
59563,Semousies,229,6,235
59564,La Sentinelle,3140,15,3155
59565,Sepmeries,645,9,654
59566,Sequedin,4722,37,4759
59567,SÃ©ranvillers-Forenville,417,5,422
59568,Sercus,489,8,497
59569,Sin-le-Noble,15916,84,16000
59570,Socx,873,18,891
59571,Solesmes,4193,115,4308
59572,Solre-le-ChÃ¢teau,1790,20,1810
59573,Solrinnes,143,3,146
59574,Somain,11902,79,11981
59575,Sommaing,398,7,405
59576,Spycker,1725,38,1763
59577,Staple,715,5,720
59578,Steenbecque,1626,43,1669
59579,Steene,1385,15,1400
59580,Steenvoorde,4308,68,4376
59581,Steenwerck,3474,55,3529
59582,Strazeele,944,10,954
59583,TaisniÃ¨res-en-ThiÃ©rache,476,4,480
59584,TaisniÃ¨res-sur-Hon,960,14,974
59585,Templemars,3630,38,3668
59586,Templeuve-en-PÃ©vÃ¨le,6979,104,7083
59587,Terdeghem,518,12,530
59588,TÃ©teghem-Coudekerque-Village,8272,221,8493
59589,Thiant,2963,20,2983
59590,Thiennes,918,15,933
59591,Thivencelle,820,6,826
59592,Thumeries,4102,48,4150
59593,Thun-l'ÃvÃªque,777,10,787
59594,Thun-Saint-Amand,1102,12,1114
59595,Thun-Saint-Martin,542,13,555
59596,Tilloy-lez-Marchiennes,538,20,558
59597,Tilloy-lez-Cambrai,695,8,703
59598,Toufflers,3964,35,3999
59599,Tourcoing,99160,598,99758
59600,Tourmignies,950,15,965
59601,TrÃ©lon,2642,59,2701
59602,Tressin,1390,42,1432
59603,Trith-Saint-LÃ©ger,6062,88,6150
59604,Troisvilles,808,10,818
59605,Uxem,1524,30,1554
59606,Valenciennes,42979,489,43468
59607,Vendegies-au-Bois,479,5,484
59608,Vendegies-sur-Ãcaillon,1123,22,1145
59609,Vendeville,1615,20,1635
59610,Verchain-MaugrÃ©,1103,11,1114
59611,Verlinghem,2678,39,2717
59612,Vertain,524,12,536
59613,Vicq,1472,16,1488
59614,Viesly,1364,17,1381
59615,Vieux-Berquin,2641,44,2685
59616,Vieux-CondÃ©,10455,58,10513
59617,Vieux-Mesnil,637,7,644
59618,Vieux-Reng,923,7,930
59619,Villereau,1062,15,1077
59620,Villers-au-Tertre,670,7,677
59622,Villers-en-Cauchies,1148,15,1163
59623,Villers-Guislain,682,6,688
59624,Villers-OutrÃ©aux,2137,17,2154
59625,Villers-Plouich,389,5,394
59626,Villers-Pol,1230,21,1251
59627,Villers-Sire-Nicole,1008,9,1017
59628,Volckerinckhove,567,11,578
59629,Vred,1311,23,1334
59630,Wahagnies,2596,48,2644
59631,Walincourt-Selvigny,2091,20,2111
59632,Wallers,5618,36,5654
59633,Wallers-en-Fagne,274,7,281
59634,Wallon-Cappel,798,19,817
59635,Wambaix,368,6,374
59636,Wambrechies,10984,118,11102
59637,Wandignies-Hamage,1310,17,1327
59638,Wannehain,1332,13,1345
59639,Wargnies-le-Grand,1113,22,1135
59640,Wargnies-le-Petit,774,11,785
59641,Warhem,2035,38,2073
59642,Warlaing,599,14,613
59643,Warneton,233,5,238
59645,Wasnes-au-Bac,596,9,605
59646,Wasquehal,20674,234,20908
59647,Watten,2567,24,2591
59648,Wattignies,15756,195,15951
59649,Wattignies-la-Victoire,240,5,245
59650,Wattrelos,40881,192,41073
59651,Wavrechain-sous-Denain,1606,10,1616
59652,Wavrechain-sous-Faulx,432,4,436
59653,Wavrin,7777,58,7835
59654,Waziers,7312,61,7373
59655,Wemaers-Cappel,229,4,233
59656,Wervicq-Sud,5446,52,5498
59657,West-Cappel,640,10,650
59658,Wicres,562,7,569
59659,Wignehies,2813,19,2832
59660,Willems,2969,30,2999
59661,Willies,128,3,131
59662,Winnezeele,1280,31,1311
59663,Wormhout,5645,93,5738
59664,Wulverdinghe,332,8,340
59665,Wylder,301,6,307
59666,Zegerscappel,1549,27,1576
59667,Zermezeele,245,5,250
59668,Zuydcoote,1608,55,1663
59669,Zuytpeene,542,9,551
59670,Don,1401,12,1413
